Spec. symbol,Program zkratka,Obor zkratka,Typ studia,Forma,Datum a čas zal. přihl.,Datum podání,Spr. poplatek - vypočteno,Spr. poplatek - zaplaceno,Zaplaceno,Datum úhrady,Dadtum zkompl. Zaplaceno,Datum zkompl. Adresy,Kompl. adresy,Datum zkompl. Os. údaje,Kompl. přihlášky,Datum zkompl. celé přihl.,Kompl. údajů přihl.,Datum zkompl. Údaje o přihl.,KA - obec,KA - stát
95937,N-EGS,,Magisterský navazující,prezenční,06. 10. 2022 15:11,,750,0,ne,,,,ne,06. 10. 2022 15:27:47,ne,,ano,06. 10. 2022 15:15:27,,
96129,N-LPA,,Magisterský navazující,prezenční,15. 10. 2022 19:36,,750,0,ne,,,,ne,,ne,,ano,15. 10. 2022 19:38:16,,
95935,N-LPA,,Magisterský navazující,prezenční,06. 10. 2022 14:04,08.10.2022,750,750,ano,12.10.2022,12. 10. 2022 12:37:54,06. 10. 2022 14:44:20,ano,06. 10. 2022 14:31:53,ano,12. 10. 2022 12:37:56,ano,06. 10. 2022 14:12:37,Lagos,Nigérijská federativní republika
96640,N-NCO,,Magisterský navazující,prezenční,06. 11. 2022 00:28,06.11.2022,750,750,ano,06.11.2022,06. 11. 2022 18:57:51,06. 11. 2022 12:58:38,ano,06. 11. 2022 12:55:55,ano,06. 11. 2022 18:57:52,ano,06. 11. 2022 12:43:30,Ilasamaja Lagos Nigeria,Nigérijská federativní republika
95939,N-EGS,,Magisterský navazující,prezenční,06. 10. 2022 17:35,,750,0,ne,,,,ne,,ne,,ne,,,
96671,N-EGS,,Magisterský navazující,prezenční,07. 11. 2022 05:06,,750,0,ne,,,,ne,,ne,,ano,07. 11. 2022 05:08:32,,
96068,N-NCO,,Magisterský navazující,prezenční,12. 10. 2022 14:12,,750,0,ne,,,,ne,,ne,,ano,12. 10. 2022 14:14:02,,
96687,B-BEE,,Bakalářský,prezenční,07. 11. 2022 17:03,07.11.2022,750,0,ne,,,07. 11. 2022 17:53:05,ano,07. 11. 2022 17:27:10,ne,,ano,07. 11. 2022 17:07:37,Atonsu-Kumasi,Ghanská republika
96709,N-ENVA,,Magisterský navazující,prezenční,08. 11. 2022 19:47,,750,0,ne,,,07. 11. 2022 17:53:05,ano,08. 11. 2022 20:20:45,ne,,ano,08. 11. 2022 19:47:03,Atonsu-Kumasi,Ghanská republika
96282,N-ENVA,,Magisterský navazující,prezenční,21. 10. 2022 15:03,,750,0,ne,,,21. 10. 2022 15:32:33,ano,21. 10. 2022 15:22:51,ne,,ano,21. 10. 2022 15:12:52,SUNYANI,Ghanská republika
96180,B-BEDS,,Bakalářský,prezenční,17. 10. 2022 22:01,,750,0,ne,,,17. 10. 2022 22:53:19,ano,17. 10. 2022 22:52:12,ne,,ano,17. 10. 2022 22:29:33,"Ipaja, Lagos",Nigérijská federativní republika
96235,B-BEE,,Bakalářský,prezenční,19. 10. 2022 20:42,,750,0,ne,,,12. 01. 2021 21:50:28,ano,19. 10. 2022 20:42:56,ne,,ano,19. 10. 2022 20:42:56,Dhaka,Bangladéšská lidová republika
96716,N-ENVA,,Magisterský navazující,prezenční,08. 11. 2022 23:36,,750,0,ne,,,,ne,,ne,,ano,08. 11. 2022 23:39:19,,
96287,N-ENVA,,Magisterský navazující,prezenční,21. 10. 2022 16:50,31.10.2022,750,750,ano,31.10.2022,31. 10. 2022 10:31:59,31. 10. 2022 10:25:29,ano,31. 10. 2022 10:21:48,ano,31. 10. 2022 10:32:00,ano,21. 10. 2022 16:52:50,sabasti/ erbil,Irácká republika
95948,B-BEDS,,Bakalářský,prezenční,07. 10. 2022 00:40,07.10.2022,750,750,ano,11.10.2022,11. 10. 2022 01:44:40,07. 10. 2022 13:32:18,ano,07. 10. 2022 13:27:33,ano,11. 10. 2022 01:44:41,ano,07. 10. 2022 01:26:36,Takoradi,Ghanská republika
95952,N-NCO,,Magisterský navazující,prezenční,07. 10. 2022 05:13,,750,0,ne,,,21. 03. 2022 04:40:55,ano,07. 10. 2022 05:13:37,ne,,ano,07. 10. 2022 05:13:38,KUMASI,Ghanská republika
96506,N-EGS,,Magisterský navazující,prezenční,31. 10. 2022 00:20,,750,0,ne,,,31. 10. 2022 00:46:49,ano,31. 10. 2022 00:43:21,ne,,ano,31. 10. 2022 00:22:32,"IYANA-IPAJA, LAGOS",Nigérijská federativní republika
96344,B-BEE,,Bakalářský,prezenční,23. 10. 2022 19:59,,750,0,ne,,,23. 10. 2022 20:27:59,ano,,ne,,ano,23. 10. 2022 20:01:42,dcheira inezgane,Marocké království
96496,N-EGS,,Magisterský navazující,prezenční,30. 10. 2022 14:41,30.10.2022,750,0,ne,,,30. 10. 2022 14:49:54,ano,30. 10. 2022 14:48:44,ne,,ano,30. 10. 2022 14:44:16,"Ibadan OYO , Nigeria",Nigérijská federativní republika
95929,N-ENVA,,Magisterský navazující,prezenční,06. 10. 2022 10:23,,750,0,ne,,,06. 10. 2022 10:49:57,ano,06. 10. 2022 10:46:57,ne,,ano,06. 10. 2022 10:25:44,"Ilepa,ikare akoko",Nigérijská federativní republika
96683,N-EGS,,Magisterský navazující,prezenční,07. 11. 2022 13:17,07.11.2022,750,750,ano,07.11.2022,07. 11. 2022 19:10:32,07. 11. 2022 14:15:30,ano,07. 11. 2022 14:12:28,ano,07. 11. 2022 19:10:33,ano,07. 11. 2022 13:18:14,Port Harcourt,Nigérijská federativní republika
95905,B-BEE,,Bakalářský,prezenční,05. 10. 2022 15:28,05.10.2022,750,0,ne,,,05. 10. 2022 16:00:29,ano,05. 10. 2022 15:52:53,ne,,ano,05. 10. 2022 15:40:12,Yaounde,Středoafrická republika
95817,N-LPA,,Magisterský navazující,prezenční,03. 10. 2022 13:32,03.10.2022,750,0,ne,,,03. 10. 2022 22:57:49,ano,03. 10. 2022 23:06:02,ne,,ano,03. 10. 2022 13:33:34,Ogbomoso,Nigérijská federativní republika
96658,N-NCO,,Magisterský navazující,prezenční,06. 11. 2022 14:27,,750,0,ne,,,06. 11. 2022 15:26:40,ano,06. 11. 2022 15:14:11,ne,,ano,06. 11. 2022 14:34:48,"Karji, Kaduna",Nigérijská federativní republika
95990,N-ENVA,,Magisterský navazující,prezenční,08. 10. 2022 22:33,,750,0,ne,,,,ne,,ne,,ano,08. 10. 2022 22:35:14,,
95836,N-ENVA,,Magisterský navazující,prezenční,03. 10. 2022 17:17,11.10.2022,750,0,ne,,,11. 10. 2022 04:09:49,ano,11. 10. 2022 04:06:43,ne,,ano,11. 10. 2022 03:55:47,Manga Mandi Multan Road Lahore,Pákistánská islámská republika
96173,N-LPA,,Magisterský navazující,prezenční,17. 10. 2022 15:00,,750,0,ne,,,,ne,,ne,,ano,17. 10. 2022 15:03:42,,
96153,N-NCO,,Magisterský navazující,prezenční,16. 10. 2022 13:35,,750,0,ne,,,,ne,,ne,,ano,16. 10. 2022 13:38:29,,
96281,N-ENVA,,Magisterský navazující,prezenční,21. 10. 2022 13:45,,750,0,ne,,,21. 10. 2022 14:02:37,ano,,ne,,ano,21. 10. 2022 13:47:50,Ilorin,Nigérijská federativní republika
96536,N-NCO,,Magisterský navazující,prezenční,01. 11. 2022 09:25,,750,0,ne,,,,ne,,ne,,ano,01. 11. 2022 09:27:27,,
96593,N-LPA,,Magisterský navazující,prezenční,03. 11. 2022 18:33,,750,0,ne,,,,ne,,ne,,ne,,,
96594,N-LPA,,Magisterský navazující,prezenční,03. 11. 2022 18:36,,750,0,ne,,,09. 11. 2022 00:36:34,ano,09. 11. 2022 00:29:13,ne,,ano,03. 11. 2022 18:37:53,"Qaimpur, Bahawalpur",Pákistánská islámská republika
96032,N-EGS,,Magisterský navazující,prezenční,10. 10. 2022 23:33,,750,0,ne,,,,ne,10. 10. 2022 23:48:04,ne,,ano,10. 10. 2022 23:36:47,,
96047,N-NCO,,Magisterský navazující,prezenční,11. 10. 2022 15:26,11.10.2022,750,0,ne,,,05. 03. 2022 15:11:01,ano,11. 10. 2022 15:26:44,ne,,ano,11. 10. 2022 15:26:45,"Ejigbo, Osun state, Nigeria",Nigérijská federativní republika
96673,B-BEDS,,Bakalářský,prezenční,07. 11. 2022 06:44,07.11.2022,750,0,ne,,,07. 11. 2022 07:09:18,ano,07. 11. 2022 07:07:58,ne,,ano,07. 11. 2022 06:56:06,Jos,Nigérijská federativní republika
96210,B-BEDS,,Bakalářský,prezenční,18. 10. 2022 19:18,,750,0,ne,,,14. 12. 2021 13:25:01,ano,18. 10. 2022 19:18:13,ne,,ano,18. 10. 2022 19:18:14,Praha,Česká republika
96708,N-EGS,,Magisterský navazující,prezenční,08. 11. 2022 19:38,08.11.2022,750,0,ne,,,08. 11. 2022 19:57:45,ano,08. 11. 2022 19:54:32,ne,,ano,08. 11. 2022 19:46:47,Erbil,Irácká republika
95824,N-LPA,,Magisterský navazující,prezenční,03. 10. 2022 15:18,03.10.2022,750,750,ano,01.11.2022,01. 11. 2022 17:15:52,26. 09. 2022 10:40:12,ano,03. 10. 2022 15:19:00,ano,01. 11. 2022 17:15:53,ano,03. 10. 2022 15:19:00,Chakwal,Pákistánská islámská republika
95825,N-ENVA,,Magisterský navazující,prezenční,03. 10. 2022 15:29,03.10.2022,750,750,ano,21.10.2022,21. 10. 2022 23:37:29,26. 09. 2022 10:40:12,ano,03. 10. 2022 15:29:05,ano,21. 10. 2022 23:37:30,ano,03. 10. 2022 15:29:05,Chakwal,Pákistánská islámská republika
95961,B-BEE,,Bakalářský,prezenční,07. 10. 2022 16:47,07.10.2022,750,0,ne,,,26. 09. 2022 10:40:12,ano,07. 10. 2022 16:47:22,ne,,ano,07. 10. 2022 16:47:22,Chakwal,Pákistánská islámská republika
96084,N-ENVA,,Magisterský navazující,prezenční,13. 10. 2022 09:02,13.10.2022,750,0,ne,,,13. 10. 2022 09:12:39,ano,13. 10. 2022 09:11:01,ne,,ano,13. 10. 2022 09:08:26,Baku,Ázerbájdžánská republika
96667,B-BEE,,Bakalářský,prezenční,07. 11. 2022 01:34,07.11.2022,750,0,ne,,,07. 11. 2022 01:47:11,ano,07. 11. 2022 01:44:54,ne,,ano,07. 11. 2022 01:39:06,Istanbul,Turecká republika
95992,B-BEE,,Bakalářský,prezenční,09. 10. 2022 00:13,,750,0,ne,,,,ne,,ne,,ne,,,
96695,B-BEE,,Bakalářský,prezenční,07. 11. 2022 22:54,,750,0,ne,,,,ne,,ne,,ne,,,
95850,B-BEE,,Bakalářský,prezenční,03. 10. 2022 21:31,,750,0,ne,,,03. 10. 2022 21:31:51,ano,,ne,,ano,03. 10. 2022 21:31:51,"Tachiman North, Tuobodom",Ghanská republika
96480,B-BEE,,Bakalářský,prezenční,29. 10. 2022 16:53,,750,0,ne,,,29. 10. 2022 19:15:25,ano,29. 10. 2022 19:03:30,ne,,ano,29. 10. 2022 16:56:57,Kumasi,Ghanská republika
95821,N-ENVA,,Magisterský navazující,prezenční,03. 10. 2022 14:25,,750,0,ne,,,03. 10. 2022 14:27:04,ano,03. 10. 2022 14:25:43,ne,,ano,03. 10. 2022 14:25:43,Accra,Ghanská republika
96004,B-BEE,,Bakalářský,prezenční,09. 10. 2022 15:35,,750,0,ne,,,,ne,,ne,,ano,09. 10. 2022 15:38:47,,
95864,N-LPA,,Magisterský navazující,prezenční,04. 10. 2022 13:50,04.10.2022,750,750,ano,04.10.2022,06. 10. 2022 05:45:52,17. 05. 2022 17:32:56,ano,04. 10. 2022 13:50:58,ano,06. 10. 2022 05:45:54,ano,04. 10. 2022 13:50:59,Pagutan Permai Mataram,Indonéská republika
95815,N-NCO,,Magisterský navazující,prezenční,03. 10. 2022 12:02,05.10.2022,750,0,ne,,,03. 10. 2022 21:41:26,ano,03. 10. 2022 21:33:57,ne,,ano,03. 10. 2022 21:19:10,Odumase Krobo,Ghanská republika
95913,N-ENVA,,Magisterský navazující,prezenční,05. 10. 2022 22:44,,750,0,ne,,,,ne,05. 10. 2022 22:50:36,ne,,ano,05. 10. 2022 22:46:32,,
95860,B-BEE,,Bakalářský,prezenční,04. 10. 2022 10:36,,750,0,ne,,,,ne,04. 10. 2022 10:48:41,ne,,ano,04. 10. 2022 10:42:18,,
96019,N-NCO,,Magisterský navazující,prezenční,10. 10. 2022 11:45,,750,0,ne,,,,ne,,ne,,ne,,,
96021,N-NCO,,Magisterský navazující,prezenční,10. 10. 2022 11:49,,750,0,ne,,,,ne,,ne,,ano,10. 10. 2022 11:50:06,,
95838,N-EGS,,Magisterský navazující,prezenční,03. 10. 2022 17:38,,750,0,ne,,,20. 03. 2022 12:28:56,ano,03. 10. 2022 17:38:21,ne,,ano,03. 10. 2022 17:38:22,Accra,Ghanská republika
96477,N-ENVA,,Magisterský navazující,prezenční,29. 10. 2022 15:19,,750,0,ne,,,29. 10. 2022 15:23:51,ano,29. 10. 2022 15:23:02,ne,,ano,29. 10. 2022 15:20:33,Accra,Ghanská republika
96212,B-BEE,,Bakalářský,prezenční,18. 10. 2022 19:57,18.10.2022,750,0,ne,,,18. 10. 2022 20:09:05,ano,18. 10. 2022 20:01:09,ne,,ano,18. 10. 2022 19:57:23,Narayanganj,Bangladéšská lidová republika
96359,N-ENVA,,Magisterský navazující,prezenční,24. 10. 2022 01:01,,750,0,ne,,,,ne,,ne,,ne,,,
96441,N-ENVA,,Magisterský navazující,prezenční,26. 10. 2022 17:48,26.10.2022,750,0,ne,,,26. 10. 2022 18:00:45,ano,26. 10. 2022 17:52:30,ne,,ano,26. 10. 2022 17:49:42,"Accra, Kwabenya",Ghanská republika
95954,N-NCO,,Magisterský navazující,prezenční,07. 10. 2022 11:30,07.10.2022,750,0,ne,,,07. 10. 2022 11:55:55,ano,07. 10. 2022 11:47:43,ne,,ano,07. 10. 2022 11:33:18,Kumasi- Ashanti Region,Ghanská republika
96353,B-BEDS,,Bakalářský,prezenční,23. 10. 2022 23:39,27.10.2022,750,0,ne,,,27. 10. 2022 13:40:17,ano,27. 10. 2022 13:27:05,ne,,ano,27. 10. 2022 13:11:44,Obuasi,Ghanská republika
96417,B-BEDS,,Bakalářský,prezenční,25. 10. 2022 12:31,,750,0,ne,,,,ne,30. 10. 2022 19:17:54,ne,,ano,25. 10. 2022 12:34:55,,
96016,B-BEDS,,Bakalářský,prezenční,09. 10. 2022 23:43,10.10.2022,750,0,ne,,,10. 10. 2022 00:10:36,ano,10. 10. 2022 00:06:00,ne,,ano,09. 10. 2022 23:50:25,Accra,Ghanská republika
95923,N-ENVA,,Magisterský navazující,prezenční,06. 10. 2022 07:33,11.10.2022,750,750,ano,11.10.2022,13. 10. 2022 05:45:44,11. 10. 2022 12:53:35,ano,11. 10. 2022 12:54:10,ano,13. 10. 2022 05:45:50,ano,06. 10. 2022 11:13:41,tekirdag,Turecká republika
96575,B-BEDS,,Bakalářský,prezenční,03. 11. 2022 04:15,03.11.2022,750,0,ne,,,03. 11. 2022 04:27:20,ano,03. 11. 2022 04:23:40,ne,,ano,03. 11. 2022 04:16:55,"North Okkalapa Township, Yangon",Myanmarský svaz
96273,B-BEE,,Bakalářský,prezenční,21. 10. 2022 05:59,,750,0,ne,,,,ne,,ne,,ne,,,
96274,B-BEE,,Bakalářský,prezenční,21. 10. 2022 06:01,,750,0,ne,,,,ne,,ne,,ano,21. 10. 2022 06:02:02,,
96396,N-ENVA,,Magisterský navazující,prezenční,24. 10. 2022 18:14,,750,0,ne,,,24. 10. 2022 18:14:24,ano,24. 10. 2022 18:15:44,ne,,ano,24. 10. 2022 18:14:24,Praha (Suchdol),Česká republika
95849,B-BEDS,,Bakalářský,prezenční,03. 10. 2022 21:18,03.10.2022,750,750,ano,21.10.2022,21. 10. 2022 20:42:24,03. 10. 2022 21:44:32,ano,03. 10. 2022 21:35:21,ano,21. 10. 2022 20:42:24,ano,03. 10. 2022 21:24:14,Okeho,Nigérijská federativní republika
96070,B-BEDS,,Bakalářský,prezenční,12. 10. 2022 15:06,,750,0,ne,,,16. 01. 2022 18:04:52,ano,12. 10. 2022 15:06:49,ne,,ano,12. 10. 2022 15:06:49,Praha (Vršovice),Česká republika
96006,N-ENVA,,Magisterský navazující,prezenční,09. 10. 2022 19:08,,750,0,ne,,,,ne,,ne,,ano,09. 10. 2022 19:11:32,,
96175,B-BEDS,,Bakalářský,prezenční,17. 10. 2022 16:00,,750,0,ne,,,,ne,,ne,,ne,,,
96105,B-BEE,,Bakalářský,prezenční,13. 10. 2022 20:24,,750,0,ne,,,,ne,,ne,,ano,13. 10. 2022 20:28:35,,
96056,N-NCO,,Magisterský navazující,prezenční,12. 10. 2022 00:25,12.10.2022,750,0,ne,,,12. 10. 2022 00:37:21,ano,12. 10. 2022 00:33:25,ne,,ano,12. 10. 2022 00:27:09,Lagos,Nigérijská federativní republika
96041,B-BEE,,Bakalářský,prezenční,11. 10. 2022 11:49,11.10.2022,750,0,ne,,,11. 10. 2022 12:15:16,ano,11. 10. 2022 12:08:11,ne,,ano,11. 10. 2022 11:55:17,Yamuna nagar,Indická republika
96002,B-BEE,,Bakalářský,prezenční,09. 10. 2022 13:28,,750,0,ne,,,,ne,,ne,,ano,09. 10. 2022 13:30:53,,
96289,B-BEDS,,Bakalářský,prezenční,21. 10. 2022 17:22,21.10.2022,750,0,ne,,,21. 10. 2022 17:41:22,ano,21. 10. 2022 17:38:15,ne,,ano,21. 10. 2022 17:23:13,Mostaganem,Alžírská lidová demokratická republika
96629,N-NCO,,Magisterský navazující,prezenční,05. 11. 2022 17:26,05.11.2022,750,0,ne,,,05. 11. 2022 17:58:11,ano,05. 11. 2022 17:52:12,ne,,ano,05. 11. 2022 17:28:53,Juri,Bangladéšská lidová republika
96475,N-ENVA,,Magisterský navazující,prezenční,29. 10. 2022 14:23,29.10.2022,750,0,ne,,,29. 10. 2022 14:31:30,ano,29. 10. 2022 14:28:49,ne,,ano,29. 10. 2022 14:24:18,Wuhan,Čínská lidová republika
96118,N-NCO,,Magisterský navazující,prezenční,14. 10. 2022 16:21,,750,0,ne,,,,ne,,ne,,ano,14. 10. 2022 16:24:53,,
96368,B-BEDS,,Bakalářský,prezenční,24. 10. 2022 08:49,24.10.2022,750,0,ne,,,24. 10. 2022 08:57:38,ano,24. 10. 2022 08:55:30,ne,,ano,24. 10. 2022 08:50:29,Kumasi,Ghanská republika
95998,N-NCO,,Magisterský navazující,prezenční,09. 10. 2022 10:31,09.10.2022,750,0,ne,,,09. 10. 2022 10:43:26,ano,09. 10. 2022 10:39:51,ne,,ano,09. 10. 2022 10:32:26,KUMASI,Ghanská republika
96079,B-BEDS,,Bakalářský,prezenční,13. 10. 2022 00:26,,750,0,ne,,,,ne,13. 10. 2022 00:34:23,ne,,ano,13. 10. 2022 00:27:33,,
96639,B-BEE,,Bakalářský,prezenční,05. 11. 2022 23:13,,750,0,ne,,,,ne,,ne,,ano,05. 11. 2022 23:18:01,,
96660,B-BEDS,,Bakalářský,prezenční,06. 11. 2022 17:09,,750,0,ne,,,06. 11. 2022 17:09:06,ano,,ne,,ano,06. 11. 2022 17:09:06,Praha,Česká republika
96559,N-EGS,,Magisterský navazující,prezenční,02. 11. 2022 15:38,,750,0,ne,,,,ne,,ne,,ano,02. 11. 2022 15:38:52,,
95996,N-EGS,,Magisterský navazující,prezenční,09. 10. 2022 09:49,10.10.2022,750,750,ano,14.10.2022,14. 10. 2022 22:42:08,09. 10. 2022 14:59:52,ano,09. 10. 2022 15:02:49,ano,14. 10. 2022 22:42:08,ano,09. 10. 2022 09:56:49,Grarem Gouga,Alžírská lidová demokratická republika
96601,B-BEDS,,Bakalářský,prezenční,04. 11. 2022 05:04,04.11.2022,750,750,ano,04.11.2022,04. 11. 2022 06:55:59,24. 11. 2021 16:32:17,ano,04. 11. 2022 05:04:25,ano,04. 11. 2022 06:55:59,ano,04. 11. 2022 05:04:25,Accra,Ghanská republika
96602,B-BEE,,Bakalářský,prezenční,04. 11. 2022 05:24,04.11.2022,750,750,ano,04.11.2022,04. 11. 2022 06:50:26,24. 11. 2021 16:32:17,ano,04. 11. 2022 05:24:12,ano,04. 11. 2022 06:50:27,ano,04. 11. 2022 05:24:13,Accra,Ghanská republika
96600,B-BEDS,,Bakalářský,prezenční,04. 11. 2022 05:03,,750,0,ne,,,,ne,,ne,,ne,,,
96063,N-LPA,,Magisterský navazující,prezenční,12. 10. 2022 11:34,,750,0,ne,,,12. 10. 2022 11:51:12,ano,12. 10. 2022 11:49:44,ne,,ano,12. 10. 2022 11:45:45,Tbilisi,Gruzie
96560,B-BEE,,Bakalářský,prezenční,02. 11. 2022 16:44,02.11.2022,750,750,ano,02.11.2022,02. 11. 2022 19:01:50,02. 11. 2022 18:55:50,ano,02. 11. 2022 17:53:22,ano,02. 11. 2022 19:01:50,ano,02. 11. 2022 16:45:06,San Isidro Village Dau Mabalacat Pampanga,Filipínská republika
95872,N-NCO,,Magisterský navazující,prezenční,04. 10. 2022 17:47,05.10.2022,750,0,ne,,,04. 10. 2022 18:07:54,ano,04. 10. 2022 18:05:00,ne,,ano,04. 10. 2022 17:52:13,KONONGO,Ghanská republika
96038,B-BEE,,Bakalářský,prezenční,11. 10. 2022 06:51,27.10.2022,750,0,ne,,,09. 12. 2021 22:38:06,ano,11. 10. 2022 06:51:53,ne,,ano,11. 10. 2022 06:51:54,Tehran,Íránská islámská republika
96009,N-NCO,,Magisterský navazující,prezenční,09. 10. 2022 21:31,,750,0,ne,,,09. 10. 2022 21:40:45,ano,09. 10. 2022 21:58:01,ne,,ano,09. 10. 2022 21:35:28,Railway - Kumasi,Ghanská republika
95982,B-BEE,,Bakalářský,prezenční,08. 10. 2022 14:19,,750,0,ne,,,,ne,,ne,,ne,,,
96646,B-BEE,,Bakalářský,prezenční,06. 11. 2022 08:42,,750,0,ne,,,06. 11. 2022 08:55:44,ano,,ne,,ano,06. 11. 2022 08:43:40,Praha (Dolní Chabry),Česká republika
96619,N-LPA,,Magisterský navazující,prezenční,04. 11. 2022 23:46,,750,0,ne,,,,ne,,ne,,ano,04. 11. 2022 23:50:11,,
96620,B-BEDS,,Bakalářský,prezenční,05. 11. 2022 02:54,,750,0,ne,,,,ne,,ne,,ano,05. 11. 2022 02:54:16,,
96628,N-EGS,,Magisterský navazující,prezenční,05. 11. 2022 16:51,05.11.2022,750,0,ne,,,05. 11. 2022 16:59:56,ano,05. 11. 2022 16:56:26,ne,,ano,05. 11. 2022 16:53:22,Paynesville,Ostatní
96694,N-ENVA,,Magisterský navazující,prezenční,07. 11. 2022 22:20,07.11.2022,750,750,ano,07.11.2022,07. 11. 2022 22:33:49,07. 11. 2022 22:30:17,ano,07. 11. 2022 22:28:02,ano,07. 11. 2022 22:33:49,ano,07. 11. 2022 22:22:03,"Portmore, St. Catherine",Jamajka
96384,B-BEE,,Bakalářský,prezenční,24. 10. 2022 15:04,,750,0,ne,,,24. 10. 2022 16:43:26,ano,24. 10. 2022 15:34:35,ne,,ano,24. 10. 2022 15:07:45,Bulawayo,Zimbabwská republika
96532,B-BEDS,,Bakalářský,prezenční,01. 11. 2022 08:36,,750,0,ne,,,,ne,,ne,,ne,,,
96533,B-BEDS,,Bakalářský,prezenční,01. 11. 2022 08:38,,750,0,ne,,,,ne,,ne,,ne,,,
96535,B-BEE,,Bakalářský,prezenční,01. 11. 2022 08:59,,750,0,ne,,,,ne,,ne,,ne,,,
95841,N-NCO,,Magisterský navazující,prezenční,03. 10. 2022 18:10,,750,0,ne,,,03. 10. 2022 18:33:15,ano,03. 10. 2022 18:28:36,ne,,ano,03. 10. 2022 18:14:35,Manzini,Svazijské království
96563,B-BEE,,Bakalářský,prezenční,02. 11. 2022 17:06,02.11.2022,750,0,ne,,,02. 11. 2022 20:56:41,ano,02. 11. 2022 20:52:12,ne,,ano,02. 11. 2022 17:08:31,Villeurbanne,Francouzská republika
96012,B-BEE,,Bakalářský,prezenční,09. 10. 2022 22:44,09.10.2022,750,0,ne,,,09. 10. 2022 23:06:10,ano,09. 10. 2022 23:00:02,ne,,ano,09. 10. 2022 22:45:52,Kigali,Rwandská republika
96370,N-NCO,,Magisterský navazující,prezenční,24. 10. 2022 09:17,24.10.2022,750,0,ne,,,24. 10. 2022 18:49:12,ano,24. 10. 2022 18:42:04,ne,,ano,24. 10. 2022 18:23:41,Kumasi,Ghanská republika
96346,B-BEDS,,Bakalářský,prezenční,23. 10. 2022 21:08,23.10.2022,750,750,ano,24.10.2022,26. 10. 2022 05:45:55,23. 10. 2022 21:26:38,ano,23. 10. 2022 21:20:05,ano,26. 10. 2022 05:45:59,ano,23. 10. 2022 21:12:15,"Oshodi, Lagos - Nigeria",Ostatní
96271,N-EGS,,Magisterský navazující,prezenční,20. 10. 2022 22:41,21.10.2022,750,0,ne,,,21. 10. 2022 00:35:33,ano,20. 10. 2022 23:54:26,ne,,ano,20. 10. 2022 22:45:29,Cape Coast,Ghanská republika
96706,N-EGS,,Magisterský navazující,prezenční,08. 11. 2022 16:50,,750,0,ne,,,,ne,,ne,,ano,08. 11. 2022 16:53:20,,
96426,N-ENVA,,Magisterský navazující,prezenční,25. 10. 2022 17:37,,750,0,ne,,,,ne,,ne,,ano,25. 10. 2022 17:38:59,,
